# SPEC_060 CBP coverage audit,2026-05-17T02:31:31.919901+00:00
# verdict,NO
# verdict: NO
# NAICS-4 × MSA is NOT feasible. Fall back to NAICS × state for the structural-density section (SPEC_061 §3); intake (SPEC_064) becomes NAICS × state with optional county/MSA narrowing for other sections.
"# census_business_patterns NAICS digit coverage: 2d=661, 3d=3236, 4d=10059, 5d=21005, 6d=28408"
"# census_cbp grain breakdown: county/6d: n=7160, counties=2792, states=55"
"# MSA coverage in census_cbp county rows: 359/393 MSAs ≥90% covered, 386/393 ≥50%"

section,naics_code,table,states_covered,counties_covered,years_covered,sum_establishments
msa_coverage,13980,"Blacksburg-Christiansburg-Radford, VA",5,5,100.0
msa_coverage,14010,"Bloomington, IL",1,1,100.0
msa_coverage,14020,"Bloomington, IN",2,2,100.0
msa_coverage,14460,"Boston-Cambridge-Newton, MA-NH",7,7,100.0
msa_coverage,14500,"Boulder, CO",1,1,100.0
msa_coverage,14540,"Bowling Green, KY",4,4,100.0
msa_coverage,14580,"Bozeman, MT",1,1,100.0
msa_coverage,14740,"Bremerton-Silverdale-Port Orchard, WA",1,1,100.0
msa_coverage,15180,"Brownsville-Harlingen, TX",1,1,100.0
msa_coverage,15260,"Brunswick-St. Simons, GA",3,3,100.0
msa_coverage,15380,"Buffalo-Cheektowaga, NY",2,2,100.0
msa_coverage,15500,"Burlington, NC",1,1,100.0
msa_coverage,15540,"Burlington-South Burlington, VT",3,3,100.0
msa_coverage,15940,"Canton-Massillon, OH",2,2,100.0
msa_coverage,15980,"Cape Coral-Fort Myers, FL",1,1,100.0
msa_coverage,16180,"Carson City, NV",1,1,100.0
msa_coverage,16220,"Casper, WY",1,1,100.0
msa_coverage,16300,"Cedar Rapids, IA",3,3,100.0
msa_coverage,16540,"Chambersburg, PA",1,1,100.0
msa_coverage,16580,"Champaign-Urbana, IL",3,3,100.0
msa_coverage,16700,"Charleston-North Charleston, SC",3,3,100.0
msa_coverage,16740,"Charlotte-Concord-Gastonia, NC-SC",11,11,100.0
msa_coverage,16820,"Charlottesville, VA",5,5,100.0
msa_coverage,16860,"Chattanooga, TN-GA",6,6,100.0
msa_coverage,16940,"Cheyenne, WY",1,1,100.0
msa_coverage,16980,"Chicago-Naperville-Elgin, IL-IN",13,13,100.0
msa_coverage,17020,"Chico, CA",1,1,100.0
msa_coverage,17300,"Clarksville, TN-KY",4,4,100.0
msa_coverage,17410,"Cleveland, OH",6,6,100.0
msa_coverage,17420,"Cleveland, TN",2,2,100.0
msa_coverage,17660,"Coeur d'Alene, ID",1,1,100.0
msa_coverage,17780,"College Station-Bryan, TX",3,3,100.0
msa_coverage,17820,"Colorado Springs, CO",2,2,100.0
msa_coverage,17860,"Columbia, MO",3,3,100.0
msa_coverage,17900,"Columbia, SC",6,6,100.0
msa_coverage,18020,"Columbus, IN",1,1,100.0
msa_coverage,18140,"Columbus, OH",10,10,100.0
msa_coverage,18580,"Corpus Christi, TX",3,3,100.0
msa_coverage,18700,"Corvallis, OR",1,1,100.0
msa_coverage,18880,"Crestview-Fort Walton Beach-Destin, FL",2,2,100.0
msa_coverage,19100,"Dallas-Fort Worth-Arlington, TX",11,11,100.0
msa_coverage,19140,"Dalton, GA",2,2,100.0
msa_coverage,19300,"Daphne-Fairhope-Foley, AL",1,1,100.0
msa_coverage,19340,"Davenport-Moline-Rock Island, IA-IL",4,4,100.0
msa_coverage,19430,"Dayton-Kettering-Beavercreek, OH",3,3,100.0
msa_coverage,19460,"Decatur, AL",2,2,100.0
msa_coverage,19500,"Decatur, IL",1,1,100.0
msa_coverage,19660,"Deltona-Daytona Beach-Ormond Beach, FL",2,2,100.0
msa_coverage,19780,"Des Moines-West Des Moines, IA",6,6,100.0
msa_coverage,19820,"Detroit-Warren-Dearborn, MI",6,6,100.0
msa_coverage,20020,"Dothan, AL",3,3,100.0
msa_coverage,20100,"Dover, DE",1,1,100.0
msa_coverage,20220,"Dubuque, IA",1,1,100.0
msa_coverage,20260,"Duluth, MN-WI",3,3,100.0
msa_coverage,20500,"Durham-Chapel Hill, NC",4,4,100.0
msa_coverage,20580,"Eagle Pass, TX",1,1,100.0
msa_coverage,20740,"Eau Claire, WI",2,2,100.0
msa_coverage,20940,"El Centro, CA",1,1,100.0
msa_coverage,21060,"Elizabethtown, KY",2,2,100.0
msa_coverage,21140,"Elkhart-Goshen, IN",1,1,100.0
msa_coverage,21300,"Elmira, NY",1,1,100.0
msa_coverage,21420,"Enid, OK",1,1,100.0
msa_coverage,21500,"Erie, PA",1,1,100.0
msa_coverage,21660,"Eugene-Springfield, OR",1,1,100.0
msa_coverage,21780,"Evansville, IN",3,3,100.0
msa_coverage,21820,"Fairbanks-College, AK",1,1,100.0
msa_coverage,22020,"Fargo, ND-MN",2,2,100.0
msa_coverage,22140,"Farmington, NM",1,1,100.0
